,category,variable,value,year
146,Education,points_r1_2019,336.0,2019
147,Engineering and engineering trades,points_r1_2019,432.0,2019
148,Information and Communication Technologies (ICTs),points_r1_2019,351.0,2019
149,Engineering and engineering trades,points_r1_2019,425.0,2019
150,Architecture and construction,points_r1_2019,341.0,2019
151,Transport services,points_r1_2019,318.0,2019
152,Arts,points_r1_2019,335.0,2019
153,Information and Communication Technologies (ICTs),points_r1_2019,318.0,2019
154,Arts,points_r1_2019,633.0,2019
155,Arts,points_r1_2019,972.0,2019
156,Arts,points_r1_2019,500.0,2019
157,Business and administration,points_r1_2019,326.0,2019
158,Arts,points_r1_2019,979.0,2019
159,Arts,points_r1_2019,620.0,2019
160,Arts,points_r1_2019,920.0,2019
161,Physical sciences,points_r1_2019,279.0,2019
162,Information and Communication Technologies (ICTs),points_r1_2019,282.0,2019
163,Biological and related sciences,points_r1_2019,546.0,2019
164,Biological and related sciences,points_r1_2019,388.0,2019
165,Health,points_r1_2019,360.0,2019
166,Biological and related sciences,points_r1_2019,381.0,2019
167,Physical sciences,points_r1_2019,288.0,2019
168,Physical sciences,points_r1_2019,291.0,2019
169,Environment,points_r1_2019,334.0,2019
170,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",points_r1_2019,408.0,2019
171,Business and administration,points_r1_2019,316.0,2019
172,Business and administration,points_r1_2019,288.0,2019
173,Business and administration,points_r1_2019,300.0,2019
174,Personal services,points_r1_2019,,2019
175,,points_r1_2019,,2019
176,Education,points_r1_2019,,2019
177,Engineering and engineering trades,points_r1_2019,381.0,2019
178,Environment,points_r1_2019,319.0,2019
179,Health,points_r1_2019,434.0,2019
180,Architecture and construction,points_r1_2019,288.0,2019
181,Architecture and construction,points_r1_2019,336.0,2019
182,Architecture and construction,points_r1_2019,279.0,2019
183,Architecture and construction,points_r1_2019,253.0,2019
184,Engineering and engineering trades,points_r1_2019,344.0,2019
185,Engineering and engineering trades,points_r1_2019,342.0,2019
186,Arts,points_r1_2019,587.0,2019
187,Personal services,points_r1_2019,249.0,2019
188,Arts,points_r1_2019,768.0,2019
189,,points_r1_2019,,2019
190,Arts,points_r1_2019,878.0,2019
191,Arts,points_r1_2019,584.0,2019
192,Arts,points_r1_2019,839.0,2019
193,Arts,points_r1_2019,857.0,2019
194,Information and Communication Technologies (ICTs),points_r1_2019,235.0,2019
195,Business and administration,points_r1_2019,,2019
196,Business and administration,points_r1_2019,327.0,2019
197,Welfare,points_r1_2019,252.0,2019
198,Arts,points_r1_2019,700.0,2019
199,Personal services,points_r1_2019,252.0,2019
200,Welfare,points_r1_2019,251.0,2019
201,Agriculture,points_r1_2019,266.0,2019
202,Arts,points_r1_2019,309.0,2019
203,Biological and related sciences,points_r1_2019,261.0,2019
204,Biological and related sciences,points_r1_2019,271.0,2019
205,Personal services,points_r1_2019,,2019
206,Personal services,points_r1_2019,,2019
207,Health,points_r1_2019,454.0,2019
208,Information and Communication Technologies (ICTs),points_r1_2019,281.0,2019
209,Information and Communication Technologies (ICTs),points_r1_2019,300.0,2019
210,Information and Communication Technologies (ICTs),points_r1_2019,307.0,2019
211,Information and Communication Technologies (ICTs),points_r1_2019,300.0,2019
212,Information and Communication Technologies (ICTs),points_r1_2019,274.0,2019
213,Architecture and construction,points_r1_2019,271.0,2019
214,Architecture and construction,points_r1_2019,252.0,2019
215,Architecture and construction,points_r1_2019,348.0,2019
