,category,variable,value,year
619,Engineering and engineering trades,points_r1_2019,443.0,2019
620,Engineering and engineering trades,points_r1_2019,509.0,2019
621,Engineering and engineering trades,points_r1_2019,519.0,2019
622,Architecture and construction,points_r1_2019,434.0,2019
623,Engineering and engineering trades,points_r1_2019,532.0,2019
624,Engineering and engineering trades,points_r1_2019,454.0,2019
625,Health,points_r1_2019,726.0,2019
626,Health,points_r1_2019,532.0,2019
627,Health,points_r1_2019,529.0,2019
628,Health,points_r1_2019,434.0,2019
629,Health,points_r1_2019,442.0,2019
630,Health,points_r1_2019,388.0,2019
631,Health,points_r1_2019,429.0,2019
632,Languages,points_r1_2019,330.0,2019
633,Arts,points_r1_2019,338.0,2019
634,Social and behavioural sciences,points_r1_2019,309.0,2019
635,Social and behavioural sciences,points_r1_2019,356.0,2019
636,Information and Communication Technologies (ICTs),points_r1_2019,434.0,2019
637,Languages,points_r1_2019,418.0,2019
638,Humanities (except languages),points_r1_2019,340.0,2019
639,Business and administration,points_r1_2019,229.0,2019
640,Business and administration,points_r1_2019,285.0,2019
641,,points_r1_2019,,2019
642,Arts,points_r1_2019,734.0,2019
643,Arts,points_r1_2019,900.0,2019
644,Education,points_r1_2019,,2019
645,Business and administration,points_r1_2019,254.0,2019
646,Law,points_r1_2019,308.0,2019
647,Business and administration,points_r1_2019,299.0,2019
648,Business and administration,points_r1_2019,298.0,2019
649,Business and administration,points_r1_2019,216.0,2019
650,Information and Communication Technologies (ICTs),points_r1_2019,300.0,2019
651,Information and Communication Technologies (ICTs),points_r1_2019,219.0,2019
652,Information and Communication Technologies (ICTs),points_r1_2019,298.0,2019
653,Information and Communication Technologies (ICTs),points_r1_2019,335.0,2019
654,Architecture and construction,points_r1_2019,276.0,2019
655,Architecture and construction,points_r1_2019,292.0,2019
656,Architecture and construction,points_r1_2019,281.0,2019
657,Architecture and construction,points_r1_2019,307.0,2019
658,Architecture and construction,points_r1_2019,281.0,2019
659,Health,points_r1_2019,282.0,2019
660,Physical sciences,points_r1_2019,335.0,2019
661,Environment,points_r1_2019,236.0,2019
662,Engineering and engineering trades,points_r1_2019,288.0,2019
663,Engineering and engineering trades,points_r1_2019,307.0,2019
664,Engineering and engineering trades,points_r1_2019,280.0,2019
665,Welfare,points_r1_2019,360.0,2019
666,Personal services,points_r1_2019,299.0,2019
667,Personal services,points_r1_2019,271.0,2019
668,Business and administration,points_r1_2019,263.0,2019
669,Social and behavioural sciences,points_r1_2019,217.0,2019
670,Business and administration,points_r1_2019,337.0,2019
671,Information and Communication Technologies (ICTs),points_r1_2019,298.0,2019
672,Arts,points_r1_2019,298.0,2019
673,Biological and related sciences,points_r1_2019,379.0,2019
674,Arts,points_r1_2019,298.0,2019
675,Arts,points_r1_2019,321.0,2019
676,Engineering and engineering trades,points_r1_2019,317.0,2019
677,Engineering and engineering trades,points_r1_2019,321.0,2019
678,Engineering and engineering trades,points_r1_2019,308.0,2019
679,Transport services,points_r1_2019,282.0,2019
680,Personal services,points_r1_2019,217.0,2019
681,Welfare,points_r1_2019,260.0,2019
682,Welfare,points_r1_2019,209.0,2019
683,Environment,points_r1_2019,262.0,2019
684,Business and administration,points_r1_2019,,2019
685,Information and Communication Technologies (ICTs),points_r1_2019,271.0,2019
686,Personal services,points_r1_2019,288.0,2019
687,Information and Communication Technologies (ICTs),points_r1_2019,838.0,2019
688,Information and Communication Technologies (ICTs),points_r1_2019,229.0,2019
689,Information and Communication Technologies (ICTs),points_r1_2019,816.0,2019
690,Welfare,points_r1_2019,319.0,2019
691,Welfare,points_r1_2019,298.0,2019
692,Information and Communication Technologies (ICTs),points_r1_2019,,2019
693,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",points_r1_2019,278.0,2019
694,Welfare,points_r1_2019,346.0,2019
695,,points_r1_2019,226.0,2019
696,Humanities (except languages),points_r1_2019,329.0,2019
697,,points_r1_2019,,2019
698,Law,points_r1_2019,436.0,2019
699,Arts,points_r1_2019,307.0,2019
700,Law,points_r1_2019,387.0,2019
701,Law,points_r1_2019,473.0,2019
702,Social and behavioural sciences,points_r1_2019,478.0,2019
703,Journalism and information,points_r1_2019,388.0,2019
704,Humanities (except languages),points_r1_2019,350.0,2019
705,Languages,points_r1_2019,404.0,2019
706,Business and administration,points_r1_2019,419.0,2019
707,Business and administration,points_r1_2019,511.0,2019
708,Mathematics and statistics,points_r1_2019,434.0,2019
709,Information and Communication Technologies (ICTs),points_r1_2019,372.0,2019
710,,points_r1_2019,,2019
711,Manufacturing and processing,points_r1_2019,400.0,2019
712,Manufacturing and processing,points_r1_2019,402.0,2019
713,Engineering and engineering trades,points_r1_2019,469.0,2019
714,Manufacturing and processing,points_r1_2019,368.0,2019
715,Personal services,points_r1_2019,441.0,2019
716,Education,points_r1_2019,498.0,2019
717,Education,points_r1_2019,,2019
718,Education,points_r1_2019,478.0,2019
719,Biological and related sciences,points_r1_2019,338.0,2019
720,Education,points_r1_2019,405.0,2019
721,Education,points_r1_2019,358.0,2019
722,Education,points_r1_2019,382.0,2019
723,Mathematics and statistics,points_r1_2019,,2019
724,Architecture and construction,points_r1_2019,419.0,2019
725,Health,points_r1_2019,565.0,2019
726,Health,points_r1_2019,55.0,2019
727,Social and behavioural sciences,points_r1_2019,495.0,2019
728,Health,points_r1_2019,313.0,2019
729,,points_r1_2019,,2019
730,Physical sciences,points_r1_2019,456.0,2019
731,Engineering and engineering trades,points_r1_2019,434.0,2019
732,Engineering and engineering trades,points_r1_2019,401.0,2019
733,Information and Communication Technologies (ICTs),points_r1_2019,352.0,2019
734,Information and Communication Technologies (ICTs),points_r1_2019,330.0,2019
735,Biological and related sciences,points_r1_2019,412.0,2019
736,Mathematics and statistics,points_r1_2019,427.0,2019
737,Physical sciences,points_r1_2019,405.0,2019
738,Health,points_r1_2019,440.0,2019
739,Health,points_r1_2019,388.0,2019
740,Health,points_r1_2019,381.0,2019
741,Health,points_r1_2019,429.0,2019
742,Business and administration,points_r1_2019,318.0,2019
743,Business and administration,points_r1_2019,287.0,2019
744,,points_r1_2019,,2019
745,Law,points_r1_2019,300.0,2019
746,Personal services,points_r1_2019,278.0,2019
747,Arts,points_r1_2019,307.0,2019
748,Architecture and construction,points_r1_2019,270.0,2019
749,Architecture and construction,points_r1_2019,307.0,2019
750,Architecture and construction,points_r1_2019,267.0,2019
751,,points_r1_2019,,2019
752,Engineering and engineering trades,points_r1_2019,304.0,2019
753,Engineering and engineering trades,points_r1_2019,307.0,2019
754,Information and Communication Technologies (ICTs),points_r1_2019,300.0,2019
755,Information and Communication Technologies (ICTs),points_r1_2019,,2019
756,Biological and related sciences,points_r1_2019,302.0,2019
757,Agriculture,points_r1_2019,300.0,2019
758,Health,points_r1_2019,383.0,2019
759,Health,points_r1_2019,291.0,2019
760,Health,points_r1_2019,288.0,2019
761,Welfare,points_r1_2019,300.0,2019
762,Health,points_r1_2019,260.0,2019
763,,points_r1_2019,298.0,2019
764,Education,points_r1_2019,496.0,2019
765,Education,points_r1_2019,,2019
766,,points_r1_2019,,2019
767,Humanities (except languages),points_r1_2019,316.0,2019
768,Arts,points_r1_2019,,2019
769,Social and behavioural sciences,points_r1_2019,495.0,2019
770,Social and behavioural sciences,points_r1_2019,326.0,2019
771,Arts,points_r1_2019,317.0,2019
772,Welfare,points_r1_2019,,2019
773,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",points_r1_2019,350.0,2019
774,Biological and related sciences,points_r1_2019,429.0,2019
775,Biological and related sciences,points_r1_2019,,2019
776,Physical sciences,points_r1_2019,420.0,2019
777,Mathematics and statistics,points_r1_2019,498.0,2019
778,Information and Communication Technologies (ICTs),points_r1_2019,434.0,2019
779,Biological and related sciences,points_r1_2019,451.0,2019
780,Social and behavioural sciences,points_r1_2019,473.0,2019
781,Physical sciences,points_r1_2019,446.0,2019
782,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",points_r1_2019,444.0,2019
783,Engineering and engineering trades,points_r1_2019,371.0,2019
784,Engineering and engineering trades,points_r1_2019,358.0,2019
785,Engineering and engineering trades,points_r1_2019,361.0,2019
786,Business and administration,points_r1_2019,352.0,2019
787,Business and administration,points_r1_2019,476.0,2019
788,Business and administration,points_r1_2019,402.0,2019
789,Business and administration,points_r1_2019,400.0,2019
790,Business and administration,points_r1_2019,401.0,2019
791,Business and administration,points_r1_2019,358.0,2019
792,Law,points_r1_2019,451.0,2019
793,Law,points_r1_2019,410.0,2019
794,Information and Communication Technologies (ICTs),points_r1_2019,342.0,2019
795,Information and Communication Technologies (ICTs),points_r1_2019,357.0,2019
796,Information and Communication Technologies (ICTs),points_r1_2019,520.0,2019
797,Education,points_r1_2019,347.0,2019
798,Welfare,points_r1_2019,,2019
799,Social and behavioural sciences,points_r1_2019,,2019
800,Business and administration,points_r1_2019,357.0,2019
801,Arts,points_r1_2019,345.0,2019
802,Arts,points_r1_2019,300.0,2019
803,Education,points_r1_2019,,2019
804,Education,points_r1_2019,473.0,2019
805,Education,points_r1_2019,442.0,2019
806,Education,points_r1_2019,366.0,2019
807,Education,points_r1_2019,543.0,2019
808,Education,points_r1_2019,392.0,2019
809,Education,points_r1_2019,326.0,2019
810,Education,points_r1_2019,377.0,2019
811,Education,points_r1_2019,398.0,2019
812,Education,points_r1_2019,433.0,2019
813,Education,points_r1_2019,,2019
814,Interdisciplinary programmes and qualifications involving arts and humanities,points_r1_2019,290.0,2019
815,Interdisciplinary programmes and qualifications involving arts and humanities,points_r1_2019,292.0,2019
816,Information and Communication Technologies (ICTs),points_r1_2019,261.0,2019
817,Business and administration,points_r1_2019,297.0,2019
818,Business and administration,points_r1_2019,297.0,2019
819,Social and behavioural sciences,points_r1_2019,366.0,2019
820,Business and administration,points_r1_2019,270.0,2019
821,Business and administration,points_r1_2019,338.0,2019
822,Information and Communication Technologies (ICTs),points_r1_2019,260.0,2019
823,,points_r1_2019,,2019
824,,points_r1_2019,297.0,2019
825,Education,points_r1_2019,,2019
826,,points_r1_2019,,2019
827,Social and behavioural sciences,points_r1_2019,251.0,2019
828,Humanities (except languages),points_r1_2019,203.0,2019
829,Humanities (except languages),points_r1_2019,168.0,2019
830,Health,points_r1_2019,729.0,2019
831,Health,points_r1_2019,532.0,2019
832,Health,points_r1_2019,555.0,2019
833,Health,points_r1_2019,60.0,2019
834,Business and administration,points_r1_2019,252.0,2019
835,,points_r1_2019,,2019
836,Business and administration,points_r1_2019,307.0,2019
837,Personal services,points_r1_2019,269.0,2019
838,Personal services,points_r1_2019,246.0,2019
839,,points_r1_2019,,2019
840,Arts,points_r1_2019,279.0,2019
841,Welfare,points_r1_2019,278.0,2019
842,Welfare,points_r1_2019,297.0,2019
843,Arts,points_r1_2019,355.0,2019
844,Arts,points_r1_2019,261.0,2019
845,Information and Communication Technologies (ICTs),points_r1_2019,295.0,2019
846,Social and behavioural sciences,points_r1_2019,308.0,2019
847,Social and behavioural sciences,points_r1_2019,282.0,2019
848,Languages,points_r1_2019,279.0,2019
849,Information and Communication Technologies (ICTs),points_r1_2019,300.0,2019
850,Information and Communication Technologies (ICTs),points_r1_2019,273.0,2019
851,Languages,points_r1_2019,,2019
852,,points_r1_2019,,2019
853,,points_r1_2019,,2019
854,Architecture and construction,points_r1_2019,,2019
855,Architecture and construction,points_r1_2019,261.0,2019
856,,points_r1_2019,,2019
857,Architecture and construction,points_r1_2019,289.0,2019
858,Architecture and construction,points_r1_2019,309.0,2019
859,Architecture and construction,points_r1_2019,,2019
860,,points_r1_2019,,2019
861,,points_r1_2019,,2019
862,Hygiene and occupational health services,points_r1_2019,289.0,2019
863,Health,points_r1_2019,357.0,2019
864,Biological and related sciences,points_r1_2019,308.0,2019
865,Physical sciences,points_r1_2019,347.0,2019
866,Health,points_r1_2019,316.0,2019
867,Biological and related sciences,points_r1_2019,306.0,2019
868,Health,points_r1_2019,329.0,2019
869,Environment,points_r1_2019,,2019
870,Business and administration,points_r1_2019,270.0,2019
871,Business and administration,points_r1_2019,280.0,2019
872,Information and Communication Technologies (ICTs),points_r1_2019,290.0,2019
873,Information and Communication Technologies (ICTs),points_r1_2019,303.0,2019
874,,points_r1_2019,262.0,2019
875,,points_r1_2019,297.0,2019
876,,points_r1_2019,289.0,2019
877,,points_r1_2019,260.0,2019
878,,points_r1_2019,235.0,2019
879,,points_r1_2019,217.0,2019
880,,points_r1_2019,261.0,2019
881,,points_r1_2019,208.0,2019
882,,points_r1_2019,236.0,2019
883,,points_r1_2019,220.0,2019
884,,points_r1_2019,202.0,2019
885,,points_r1_2019,218.0,2019
886,,points_r1_2019,207.0,2019
887,,points_r1_2019,229.0,2019
888,,points_r1_2019,251.0,2019
889,,points_r1_2019,243.0,2019
890,,points_r1_2019,236.0,2019
891,,points_r1_2019,218.0,2019
892,,points_r1_2019,235.0,2019
893,,points_r1_2019,243.0,2019
894,,points_r1_2019,261.0,2019
895,,points_r1_2019,200.0,2019
896,,points_r1_2019,243.0,2019
897,,points_r1_2019,300.0,2019
898,,points_r1_2019,341.0,2019
899,,points_r1_2019,218.0,2019
900,,points_r1_2019,218.0,2019
901,Arts,points_r1_2019,281.0,2019
902,Arts,points_r1_2019,306.0,2019
903,Information and Communication Technologies (ICTs),points_r1_2019,309.0,2019
904,Information and Communication Technologies (ICTs),points_r1_2019,310.0,2019
905,Information and Communication Technologies (ICTs),points_r1_2019,308.0,2019
906,Personal services,points_r1_2019,291.0,2019
907,Business and administration,points_r1_2019,307.0,2019
908,,points_r1_2019,,2019
909,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",points_r1_2019,311.0,2019
910,Architecture and construction,points_r1_2019,300.0,2019
911,Manufacturing and processing,points_r1_2019,,2019
912,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",points_r1_2019,331.0,2019
913,Environment,points_r1_2019,310.0,2019
914,Health,points_r1_2019,342.0,2019
915,Veterinary,points_r1_2019,326.0,2019
916,Personal services,points_r1_2019,303.0,2019
917,Personal services,points_r1_2019,288.0,2019
918,Personal services,points_r1_2019,282.0,2019
919,,points_r1_2019,,2019
920,Welfare,points_r1_2019,307.0,2019
921,Welfare,points_r1_2019,308.0,2019
922,Welfare,points_r1_2019,,2019
923,Health,points_r1_2019,407.0,2019
924,Health,points_r1_2019,367.0,2019
925,,points_r1_2019,264.0,2019
926,,points_r1_2019,369.0,2019
927,Arts,points_r1_2019,414.0,2019
928,Humanities (except languages),points_r1_2019,486.0,2019
929,Law,points_r1_2019,532.0,2019
930,Humanities (except languages),points_r1_2019,391.0,2019
931,Social and behavioural sciences,points_r1_2019,555.0,2019
932,Health,points_r1_2019,499.0,2019
933,Education,points_r1_2019,430.0,2019
934,Social and behavioural sciences,points_r1_2019,566.0,2019
935,Languages,points_r1_2019,337.0,2019
936,Law,points_r1_2019,532.0,2019
937,Law,points_r1_2019,523.0,2019
938,Humanities (except languages),points_r1_2019,377.0,2019
939,Languages,points_r1_2019,347.0,2019
940,Languages,points_r1_2019,463.0,2019
941,Humanities (except languages),points_r1_2019,520.0,2019
942,Arts,points_r1_2019,489.0,2019
943,Humanities (except languages),points_r1_2019,339.0,2019
944,Mathematics and statistics,points_r1_2019,566.0,2019
945,Engineering and engineering trades,points_r1_2019,487.0,2019
946,Information and Communication Technologies (ICTs),points_r1_2019,465.0,2019
947,Business and administration,points_r1_2019,589.0,2019
948,Physical sciences,points_r1_2019,554.0,2019
949,Engineering and engineering trades,points_r1_2019,499.0,2019
950,Information and Communication Technologies (ICTs),points_r1_2019,435.0,2019
951,Languages,points_r1_2019,485.0,2019
952,Humanities (except languages),points_r1_2019,347.0,2019
953,Arts,points_r1_2019,,2019
954,Humanities (except languages),points_r1_2019,,2019
955,Health,points_r1_2019,730.0,2019
956,Health,points_r1_2019,590.0,2019
957,Health,points_r1_2019,533.0,2019
958,Health,points_r1_2019,500.0,2019
959,Health,points_r1_2019,510.0,2019
960,Health,points_r1_2019,543.0,2019
961,Biological and related sciences,points_r1_2019,510.0,2019
962,Physical sciences,points_r1_2019,488.0,2019
963,Physical sciences,points_r1_2019,435.0,2019
964,Physical sciences,points_r1_2019,498.0,2019
965,,points_r1_2019,,2019
966,Health,points_r1_2019,555.0,2019
967,Business and administration,points_r1_2019,565.0,2019
968,Social and behavioural sciences,points_r1_2019,518.0,2019
969,Welfare,points_r1_2019,420.0,2019
970,Business and administration,points_r1_2019,509.0,2019
971,Business and administration,points_r1_2019,474.0,2019
972,Business and administration,points_r1_2019,467.0,2019
973,Business and administration,points_r1_2019,393.0,2019
974,Business and administration,points_r1_2019,510.0,2019
975,Health,points_r1_2019,393.0,2019
976,Health,points_r1_2019,378.0,2019
977,Health,points_r1_2019,358.0,2019
978,Health,points_r1_2019,346.0,2019
979,Health,points_r1_2019,476.0,2019
980,Health,points_r1_2019,423.0,2019
981,Humanities (except languages),points_r1_2019,532.0,2019
982,Law,points_r1_2019,576.0,2019
983,Law,points_r1_2019,567.0,2019
984,Social and behavioural sciences,points_r1_2019,477.0,2019
985,Business and administration,points_r1_2019,510.0,2019
986,Social and behavioural sciences,points_r1_2019,451.0,2019
987,Arts,points_r1_2019,,2019
988,Arts,points_r1_2019,,2019
989,Arts,points_r1_2019,,2019
990,Arts,points_r1_2019,,2019
991,Arts,points_r1_2019,,2019
992,Arts,points_r1_2019,,2019
993,Arts,points_r1_2019,,2019
994,Arts,points_r1_2019,,2019
995,Arts,points_r1_2019,,2019
996,Arts,points_r1_2019,,2019
997,Arts,points_r1_2019,,2019
998,Arts,points_r1_2019,,2019
999,Arts,points_r1_2019,,2019
1000,Arts,points_r1_2019,,2019
1001,Arts,points_r1_2019,,2019
1002,Interdisciplinary programmes and qualifications involving arts and humanities,points_r1_2019,,2019
1003,Interdisciplinary programmes and qualifications involving arts and humanities,points_r1_2019,,2019
1004,Interdisciplinary programmes and qualifications involving arts and humanities,points_r1_2019,,2019
1005,Arts,points_r1_2019,,2019
1006,Arts,points_r1_2019,,2019
1007,Arts,points_r1_2019,,2019
1008,Arts,points_r1_2019,,2019
1009,Arts,points_r1_2019,,2019
1010,Arts,points_r1_2019,,2019
1011,Arts,points_r1_2019,,2019
1012,Arts,points_r1_2019,,2019
1013,Arts,points_r1_2019,,2019
1014,Arts,points_r1_2019,,2019
1015,Arts,points_r1_2019,,2019
1016,Arts,points_r1_2019,,2019
1017,Arts,points_r1_2019,,2019
1018,Arts,points_r1_2019,,2019
1019,Arts,points_r1_2019,,2019
1020,Arts,points_r1_2019,,2019
1021,Arts,points_r1_2019,,2019
1022,Arts,points_r1_2019,,2019
1023,Arts,points_r1_2019,,2019
1024,Arts,points_r1_2019,,2019
1025,Arts,points_r1_2019,,2019
1026,Arts,points_r1_2019,,2019
1027,Arts,points_r1_2019,,2019
1028,Arts,points_r1_2019,,2019
1029,Arts,points_r1_2019,,2019
1030,Arts,points_r1_2019,,2019
1031,Arts,points_r1_2019,,2019
1032,Arts,points_r1_2019,,2019
1033,Arts,points_r1_2019,,2019
1034,Arts,points_r1_2019,,2019
1035,Arts,points_r1_2019,,2019
1036,Arts,points_r1_2019,,2019
1037,Arts,points_r1_2019,,2019
1038,Arts,points_r1_2019,,2019
1039,Arts,points_r1_2019,,2019
1040,Arts,points_r1_2019,,2019
1041,Arts,points_r1_2019,,2019
1042,Arts,points_r1_2019,,2019
1043,Arts,points_r1_2019,,2019
1044,Arts,points_r1_2019,,2019
1045,Arts,points_r1_2019,,2019
1046,Arts,points_r1_2019,,2019
1047,Arts,points_r1_2019,,2019
1048,Arts,points_r1_2019,,2019
1049,Arts,points_r1_2019,,2019
1050,Arts,points_r1_2019,,2019
1051,Arts,points_r1_2019,,2019
1052,Arts,points_r1_2019,,2019
1053,Arts,points_r1_2019,,2019
1054,Arts,points_r1_2019,,2019
1055,Engineering and engineering trades,points_r1_2019,,2019
1056,Engineering and engineering trades,points_r1_2019,,2019
1057,Engineering and engineering trades,points_r1_2019,,2019
1058,Engineering and engineering trades,points_r1_2019,,2019
1059,Engineering and engineering trades,points_r1_2019,,2019
1060,Engineering and engineering trades,points_r1_2019,,2019
1061,Arts,points_r1_2019,,2019
1062,Manufacturing and processing,points_r1_2019,,2019
1063,Transport services,points_r1_2019,,2019
1064,,points_r1_2019,,2019
1065,,points_r1_2019,,2019
1066,Architecture and construction,points_r1_2019,,2019
1067,Architecture and construction,points_r1_2019,,2019
1068,Architecture and construction,points_r1_2019,,2019
1069,Architecture and construction,points_r1_2019,,2019
1070,Architecture and construction,points_r1_2019,,2019
1071,Architecture and construction,points_r1_2019,,2019
1072,Architecture and construction,points_r1_2019,,2019
1073,,points_r1_2019,,2019
1074,Environment,points_r1_2019,,2019
1075,Physical sciences,points_r1_2019,,2019
1076,Biological and related sciences,points_r1_2019,,2019
1077,Physical sciences,points_r1_2019,,2019
1078,Information and Communication Technologies (ICTs),points_r1_2019,,2019
1079,Information and Communication Technologies (ICTs),points_r1_2019,,2019
1080,Information and Communication Technologies (ICTs),points_r1_2019,,2019
1081,Information and Communication Technologies (ICTs),points_r1_2019,,2019
1082,Information and Communication Technologies (ICTs),points_r1_2019,,2019
1083,Information and Communication Technologies (ICTs),points_r1_2019,,2019
1084,Information and Communication Technologies (ICTs),points_r1_2019,,2019
1085,Information and Communication Technologies (ICTs),points_r1_2019,,2019
1086,Biological and related sciences,points_r1_2019,,2019
1087,Information and Communication Technologies (ICTs),points_r1_2019,,2019
1088,Health,points_r1_2019,,2019
1089,Health,points_r1_2019,,2019
1090,Health,points_r1_2019,,2019
1091,Hygiene and occupational health services,points_r1_2019,,2019
1092,Health,points_r1_2019,,2019
1093,Health,points_r1_2019,,2019
1094,Biological and related sciences,points_r1_2019,,2019
1095,Mathematics and statistics,points_r1_2019,,2019
1096,Biological and related sciences,points_r1_2019,,2019
1097,Biological and related sciences,points_r1_2019,,2019
1098,Physical sciences,points_r1_2019,,2019
1099,Physical sciences,points_r1_2019,,2019
1100,Health,points_r1_2019,,2019
1101,Physical sciences,points_r1_2019,,2019
1102,Manufacturing and processing,points_r1_2019,,2019
1103,Biological and related sciences,points_r1_2019,,2019
1104,Business and administration,points_r1_2019,,2019
1105,Business and administration,points_r1_2019,,2019
1106,Business and administration,points_r1_2019,,2019
1107,Social and behavioural sciences,points_r1_2019,,2019
1108,Business and administration,points_r1_2019,,2019
1109,Business and administration,points_r1_2019,,2019
1110,Business and administration,points_r1_2019,,2019
1111,Information and Communication Technologies (ICTs),points_r1_2019,,2019
1112,Information and Communication Technologies (ICTs),points_r1_2019,,2019
1113,Law,points_r1_2019,,2019
1114,Law,points_r1_2019,,2019
1115,Business and administration,points_r1_2019,,2019
1116,Business and administration,points_r1_2019,,2019
1117,Business and administration,points_r1_2019,,2019
1118,Business and administration,points_r1_2019,,2019
1119,Business and administration,points_r1_2019,,2019
1120,Business and administration,points_r1_2019,,2019
1121,,points_r1_2019,,2019
1122,,points_r1_2019,,2019
1123,Personal services,points_r1_2019,,2019
1124,Biological and related sciences,points_r1_2019,,2019
1125,Personal services,points_r1_2019,,2019
1126,Personal services,points_r1_2019,,2019
1127,Personal services,points_r1_2019,,2019
1128,Personal services,points_r1_2019,,2019
1129,Personal services,points_r1_2019,,2019
1130,Personal services,points_r1_2019,,2019
1131,Personal services,points_r1_2019,,2019
1132,Personal services,points_r1_2019,,2019
1133,Personal services,points_r1_2019,,2019
1134,Arts,points_r1_2019,,2019
1135,Arts,points_r1_2019,,2019
1136,Arts,points_r1_2019,,2019
1137,Business and administration,points_r1_2019,,2019
1138,Arts,points_r1_2019,,2019
1139,Arts,points_r1_2019,,2019
1140,Arts,points_r1_2019,,2019
1141,Arts,points_r1_2019,,2019
1142,Arts,points_r1_2019,,2019
1143,,points_r1_2019,,2019
1144,Arts,points_r1_2019,,2019
1145,Arts,points_r1_2019,,2019
1146,Arts,points_r1_2019,,2019
1147,Information and Communication Technologies (ICTs),points_r1_2019,,2019
1148,Journalism and information,points_r1_2019,,2019
1149,,points_r1_2019,,2019
1150,Welfare,points_r1_2019,,2019
1151,Social and behavioural sciences,points_r1_2019,,2019
1152,Education,points_r1_2019,,2019
1153,Social and behavioural sciences,points_r1_2019,,2019
1154,Welfare,points_r1_2019,,2019
1155,Engineering and engineering trades,points_r1_2019,,2019
1156,Engineering and engineering trades,points_r1_2019,,2019
1157,Engineering and engineering trades,points_r1_2019,,2019
1158,Engineering and engineering trades,points_r1_2019,,2019
1159,Engineering and engineering trades,points_r1_2019,,2019
1160,Mathematics and statistics,points_r1_2019,,2019
1161,Business and administration,points_r1_2019,,2019
1162,Business and administration,points_r1_2019,,2019
1163,Business and administration,points_r1_2019,,2019
1164,Business and administration,points_r1_2019,,2019
1165,Business and administration,points_r1_2019,,2019
1166,Business and administration,points_r1_2019,,2019
1167,Business and administration,points_r1_2019,,2019
1168,Business and administration,points_r1_2019,,2019
1169,Languages,points_r1_2019,,2019
1170,Arts,points_r1_2019,,2019
1171,Arts,points_r1_2019,,2019
1172,Business and administration,points_r1_2019,,2019
1173,Welfare,points_r1_2019,,2019
1174,Welfare,points_r1_2019,,2019
1175,Information and Communication Technologies (ICTs),points_r1_2019,279.0,2019
1176,Physical sciences,points_r1_2019,302.0,2019
1177,Health,points_r1_2019,288.0,2019
1178,Personal services,points_r1_2019,282.0,2019
1179,Engineering and engineering trades,points_r1_2019,287.0,2019
1180,Architecture and construction,points_r1_2019,269.0,2019
1181,Arts,points_r1_2019,290.0,2019
1182,Business and administration,points_r1_2019,278.0,2019
1183,Business and administration,points_r1_2019,307.0,2019
1184,Personal services,points_r1_2019,210.0,2019
1185,Health,points_r1_2019,413.0,2019
1186,Health,points_r1_2019,361.0,2019
1187,Health,points_r1_2019,338.0,2019
1188,Business and administration,points_r1_2019,289.0,2019
1189,Arts,points_r1_2019,253.0,2019
1190,Law,points_r1_2019,290.0,2019
1191,Architecture and construction,points_r1_2019,283.0,2019
1192,Physical sciences,points_r1_2019,298.0,2019
1193,Law,points_r1_2019,271.0,2019
1194,Arts,points_r1_2019,253.0,2019
1195,Information and Communication Technologies (ICTs),points_r1_2019,262.0,2019
1196,Architecture and construction,points_r1_2019,260.0,2019
1197,Social and behavioural sciences,points_r1_2019,390.0,2019
1198,Personal services,points_r1_2019,276.0,2019
1199,Welfare,points_r1_2019,271.0,2019
1200,Agriculture,points_r1_2019,378.0,2019
1201,Welfare,points_r1_2019,279.0,2019
1202,Business and administration,points_r1_2019,290.0,2019
1203,Personal services,points_r1_2019,235.0,2019
1204,Architecture and construction,points_r1_2019,266.0,2019
1205,Arts,points_r1_2019,221.0,2019
1206,Information and Communication Technologies (ICTs),points_r1_2019,271.0,2019
1207,Information and Communication Technologies (ICTs),points_r1_2019,275.0,2019
1208,Personal services,points_r1_2019,274.0,2019
1209,Engineering and engineering trades,points_r1_2019,273.0,2019
1210,,points_r1_2019,,2019
1211,,points_r1_2019,,2019
1212,Welfare,points_r1_2019,288.0,2019
1213,,points_r1_2019,269.0,2019
1214,Business and administration,points_r1_2020,209.0,2020
1215,Humanities (except languages),points_r1_2020,252.0,2020
1216,Arts,points_r1_2020,,2020
1217,Arts,points_r1_2020,,2020
1218,Arts,points_r1_2020,,2020
1219,Education,points_r1_2020,,2020
1220,Arts,points_r1_2020,,2020
1221,Arts,points_r1_2020,,2020
1222,Arts,points_r1_2020,,2020
1223,Arts,points_r1_2020,377.0,2020
1224,Arts,points_r1_2020,,2020
1225,Information and Communication Technologies (ICTs),points_r1_2020,,2020
1226,Information and Communication Technologies (ICTs),points_r1_2020,303.0,2020
1227,Information and Communication Technologies (ICTs),points_r1_2020,332.0,2020
1228,Information and Communication Technologies (ICTs),points_r1_2020,337.0,2020
1229,Information and Communication Technologies (ICTs),points_r1_2020,333.0,2020
1230,Architecture and construction,points_r1_2020,319.0,2020
