,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v
96,Social and behavioural sciences,Criminology - 3 years or 4 years (International Pathway),CK113,,,,,,,,8,University College Cork (NUI),,,
97,Welfare,Social Science (Youth and Community Work) - 3 years,CK114,,,,,,,,8,University College Cork (NUI),#,,
98,Welfare,Social Work - Mature Applicants only,CK115,,,,,,,,8,University College Cork (NUI),,,
99,Arts,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK118,,,,,,,,8,University College Cork (NUI),,,
100,Social and behavioural sciences,Applied Psychology,CK120,,*,,*,,*,,8,University College Cork (NUI),,,
101,Social and behavioural sciences,Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK121,,,,,,,,8,University College Cork (NUI),,,
102,Social and behavioural sciences,Government and Political Science,CK122,,,,,,,,8,University College Cork (NUI),,,
103,Humanities (except languages),Anthropology,CK123,,,,,,,,8,University College Cork (NUI),,,
104,Education,Education - Gaeilge,CK124,,,,,,*,,8,University College Cork (NUI),,,
105,Education,Sports Studies and Physical Education,CK125,,*,,*,,*,,8,University College Cork (NUI),,,
106,Business and administration,Commerce,CK201,,*,,,,*,,8,University College Cork (NUI),,,
107,Business and administration,Accounting,CK202,,,,,,,,8,University College Cork (NUI),,,
108,Information and Communication Technologies (ICTs),Business Information Systems,CK203,,,,,,,,8,University College Cork (NUI),,,
109,Business and administration,Finance,CK204,,,,,,,,8,University College Cork (NUI),,,
110,Business and administration,Commerce (International) with French,CK205,,,,,,,,8,University College Cork (NUI),,,
111,Business and administration,Commerce (International) with German,CK206,,,,,,,,8,University College Cork (NUI),,,
112,Business and administration,Commerce (International) with Italian,CK207,,,,,,,,8,University College Cork (NUI),,,
113,Business and administration,Commerce (International) with Hispanic Studies,CK208,,,,,,,,8,University College Cork (NUI),,,
114,Business and administration,Commerce (International) with Irish,CK209,,,,,,,,8,University College Cork (NUI),,,
115,Business and administration,Commerce (International) with Chinese Studies,CK211,,,,,,,,8,University College Cork (NUI),,,
116,Social and behavioural sciences,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,CK212,,,,,,,,8,University College Cork (NUI),,,
117,Business and administration,Food Marketing and Entrepreneurship,CK213,,,,,,,,8,University College Cork (NUI),,,
118,Social and behavioural sciences,International Development,CK214,,,,,,,,8,University College Cork (NUI),,,
119,Law,Law (Pathways) -  3 or 4 years,CK301,,,,,,*,,8,University College Cork (NUI),,,
120,Law,Law and French,CK302,,,,,,,,8,University College Cork (NUI),,,
121,Law,Law and Irish,CK304,,,,,,,,8,University College Cork (NUI),,,
122,Law,Law and Business,CK307,,,,,,,,8,University College Cork (NUI),,,
123,Information and Communication Technologies (ICTs),Computer Science,CK401,,,,,,,,8,University College Cork (NUI),,,
124,Biological and related sciences,Biological and Chemical Sciences,CK402,,*,,*,,,,8,University College Cork (NUI),,,
125,Biological and related sciences,"Biological, Earth and Environmental Sciences",CK404,,,,,,,,8,University College Cork (NUI),,,
126,Biological and related sciences,Genetics,CK405,,,,,,,,8,University College Cork (NUI),,,
127,Physical sciences,Chemical Sciences,CK406,,,,,,,,8,University College Cork (NUI),,,
128,Mathematics and statistics,Mathematical Sciences,CK407,,,,*,,,,8,University College Cork (NUI),,,
129,Physical sciences,Physics and Astrophysics,CK408,,,,,,*,,8,University College Cork (NUI),,,
130,Physical sciences,Industrial Physics - Offered jointly by UCC and CIT,CK409,,,,,,,,8,University College Cork (NUI),,,
131,Information and Communication Technologies (ICTs),Data Science and Analytics,CK411,,,,,,,,8,University College Cork (NUI),,,
132,Agriculture,Agricultural Science,CK412,,*,,*,,*,,8,University College Cork (NUI),,,
133,Biological and related sciences,Nutritional Sciences,CK504,,,,,,*,,8,University College Cork (NUI),,,
134,Manufacturing and processing,Food Science,CK505,,,,*,,,,8,University College Cork (NUI),,,
135,Engineering and engineering trades,Engineering,CK600,,,,,,,,8,University College Cork (NUI),,,
136,Architecture and construction,Architecture - Offered jointly by UCC and CIT,CK606,,,,,,,,8,University College Cork (NUI),,,
137,Health,Medicine (Undergraduate Entry - HPAT required),CK701,,,,,,,,8,University College Cork (NUI),#,,
138,Health,Dentistry,CK702,,*,,*,,*,,8,University College Cork (NUI),,,
139,Health,Pharmacy,CK703,,,,*,,*,,8,University College Cork (NUI),,,
140,Health,Occupational Therapy,CK704,,,,*,,*,,8,University College Cork (NUI),,,
141,Health,Speech and Language Therapy,CK705,,,,,,,,8,University College Cork (NUI),,,
142,Health,Public Health Sciences,CK706,,,,,,,,8,University College Cork (NUI),,,
143,Health,Medical and Health Sciences,CK707,,,,,,,,8,University College Cork (NUI),,,
144,Health,General Nursing,CK710,,*,,,,*,,8,University College Cork (NUI),,,
145,Health,Children`s and General Nursing (Integrated),CK712,,,,,,,,8,University College Cork (NUI),,,
146,Health,Mental Health Nursing,CK720,,,,,,,,8,University College Cork (NUI),,,
147,Health,Intellectual Disability Nursing,CK730,,,,,,,,8,University College Cork (NUI),,,
148,Health,Midwifery,CK740,,,,,,*,,8,University College Cork (NUI),,,
149,Health,Medicine  - Graduate Entry (GAMSAT required),CK791,,*,,,,*,,8,University College Cork (NUI),#,,
150,Education,Education - Primary Teaching,CM001,,*,,,,*,,8,Marino Institute of Education,,,
151,Education,Education - Primary Teaching - Gaeltacht Applicants,CM002,,,,,,,,8,Marino Institute of Education,#,,
152,Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM003,,,,,,,,8,Marino Institute of Education,#,,
153,Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM004,,,,,,,,8,Marino Institute of Education,#,,
154,Education,Education Studies,CM010,,,,,,,,8,Marino Institute of Education,,avp,
155,Education,Early Childhood Education,CM020,,,,,,,,8,Marino Institute of Education,,,
180,Engineering and engineering trades,Chemical and Biopharmaceutical Engineering,CR105,,,,,,,,8,Cork Institute of Technology,,,
181,Information and Communication Technologies (ICTs),Software Development,CR106,,,,,,,,8,Cork Institute of Technology,,,
