code,institution_letters,title,points_r1_2019,points_r2_2019,points_r1_2020,points_r2_2020,*r1_2020,*r2_2020,#Test/Interview2020,points_r1_2021,points_r2_2021,institution,category
BN113,BN,Horticulture ,289 ,321,,,,,,,,Technological University Dublin Blanchardstown Campus,
BN114,BN,Accounting and Finance ,280 ,332,,,,,,,,Technological University Dublin Blanchardstown Campus,
BN115,BN,Community and Youth Development ,250 ,298,,,,,,,,Technological University Dublin Blanchardstown Campus,
BN117,BN,Computer Engineering in Mobile Systems ,273 ,311,,,,,,,,Technological University Dublin Blanchardstown Campus,
BN118,BN,Early Childhood Care and Education ,290 ,320,,,,,,,,Technological University Dublin Blanchardstown Campus,
BN119,BN,Digital Marketing ,270 ,308,,,,,,,,Technological University Dublin Blanchardstown Campus,
BN120,BN,Digital Forensics and Cyber Security ,281 ,326,,,,,,,,Technological University Dublin Blanchardstown Campus,
BN121,BN,Mechatronic Engineering ,276 ,340,,,,,,,,Technological University Dublin Blanchardstown Campus,
BN123,BN,"Design,Technology and Innovation ",297 ,318,,,,,,,,Technological University Dublin Blanchardstown Campus,
BY001,BY,Business,,,,,,,,210,210,IBAT College Dublin ,
CI110,CI,Counselling and Psychotherapy,,,310,,,,,292,,Irish College of Humanities & Applied Sciences,Welfare
CI111,CI,Counselling and Psychotherapy with Addiction Studi,,,301,,,,,290,,Irish College of Humanities & Applied Sciences,Welfare
CI112,CI,Counselling and Psychotherapy with Youth Studies,,,311,,,,,325,,Irish College of Humanities & Applied Sciences,Welfare
CI101,CI,Counselling and Psychotherapy (Limerick) ,276 ,328,,,,,,,,Irish College of Humanities & Applied Sciences,
CK101,CK,Arts - 3 years,300 ,368,300,,,,,300,,University College Cork (NUI),Arts
CK102,CK,Social Science,391 ,431,412,,,,,434,431,University College Cork (NUI),Social and behavioural sciences
CK104,CK,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,#340 ,409,302,,,,#,#339,,University College Cork (NUI),Arts
CK105,CK,Film and Screen Media - 3 years or 4 years (Intern,397 ,442,368,337,,,,421,420*,University College Cork (NUI),Arts
CK107,CK,Geographical and Archaeological Sciences - 3 or 4,326 ,388,328,,,,,312,,University College Cork (NUI),Humanities (except languages)
CK108,CK,Arts International - 4 years,429 ,466,401,,,,,440*,440,University College Cork (NUI),Languages
CK109,CK,English - 3 years or 4 years (International Pathwa,347 ,423,318,,,,,367,357,University College Cork (NUI),Languages
CK110,CK,World Languages,456 ,506,452,433,,,,488,,University College Cork (NUI),Languages
CK111,CK,Early Years and Childhood Studies,398 ,429,419,,,,,409,403,University College Cork (NUI),Welfare
CK112,CK,Theatre and Performative Practices - 3 or 4 years,#324 ,470,330,,,,#,#371,,University College Cork (NUI),Arts
CK113,CK,Criminology - 3 years or 4 years (International Pa,408 ,430,423,,,,,464,463,University College Cork (NUI),Social and behavioural sciences
CK114,CK,Social Science (Youth and Community Work),#,,,,,,#,#,,University College Cork (NUI),Welfare
CK115,CK,Social Work - Mature Applicants only,#,,,,,,,,,University College Cork (NUI),Welfare
CK118,CK,Digital Humanities and IT - 3 or 4 years (Work Exp,307 ,361,336,,,,,347,339,University College Cork (NUI),Arts
CK120,CK,Applied Psychology,506 ,532,533,532,*,*,,544,543*,University College Cork (NUI),Social and behavioural sciences
CK121,CK,Psychology and Computing - 3 or 4 years (Work Expe,393 ,466,466,,,,,499,488,University College Cork (NUI),Social and behavioural sciences
CK122,CK,Government and Political Science,355 ,410,337,328,,,,399,,University College Cork (NUI),Social and behavioural sciences
CK123,CK,Anthropology,,,308,,,,,308,,University College Cork (NUI),Humanities (except languages)
CK124,CK,Education - Gaeilge,,,463,462,,,,473,,University College Cork (NUI),Education
CK125,CK,Sports Studies and Physical Education,,,510,509,*,*,,564,555*,University College Cork (NUI),Education
